"id","name","value","lat","lng","created_at","updated_at"
"266","sensor1","70.00","0.88","112.92","2023-11-02 12:36:00",NULL
"267","sensor1","70.00","0.88","112.92","2023-11-02 13:06:00",NULL
"268","sensor1","70.00","0.88","112.92","2023-11-02 13:36:00",NULL
"269","sensor1","71.00","0.88","112.92","2023-11-02 14:06:00",NULL
"270","sensor1","73.00","0.88","112.92","2023-11-02 14:36:00",NULL
"271","sensor1","70.00","0.88","112.92","2023-11-02 15:06:00",NULL
"272","sensor1","70.00","0.88","112.92","2023-11-02 15:36:00",NULL
"273","sensor1","0.00","0.87","112.92","2023-11-03 08:06:00",NULL
"274","sensor1","0.00","0.87","112.92","2023-11-03 08:36:00",NULL
"275","sensor1","0.00","0.87","112.92","2023-11-03 09:06:00",NULL
"276","sensor1","0.00","0.87","112.92","2023-11-03 09:36:00",NULL
"277","sensor1","0.00","0.87","112.92","2023-11-03 10:06:00",NULL
"278","sensor1","0.00","0.87","112.92","2023-11-03 10:36:00",NULL
"279","sensor1","0.00","0.87","112.92","2023-11-03 11:06:00",NULL
"280","sensor1","0.00","0.87","112.92","2023-11-03 11:36:00",NULL
"281","sensor1","77.00","0.87","112.92","2023-11-03 12:06:00",NULL
"282","sensor1","77.00","0.87","112.92","2023-11-03 12:36:00",NULL
"283","sensor1","78.00","0.87","112.92","2023-11-03 13:06:00",NULL
"284","sensor1","0.00","0.87","112.92","2023-11-03 13:36:00",NULL
"285","sensor1","0.00","0.87","112.92","2023-11-03 14:06:00",NULL
"286","sensor1","0.00","0.87","112.92","2023-11-03 14:36:00",NULL
"287","sensor1","0.00","0.87","112.92","2023-11-03 15:06:00",NULL
"288","sensor1","0.00","0.87","112.92","2023-11-03 15:36:00",NULL
"289","sensor1","0.00","0.88","112.92","2023-11-04 08:06:00",NULL
"290","sensor1","0.00","0.88","112.92","2023-11-04 08:36:00",NULL
"291","sensor1","0.00","0.88","112.92","2023-11-04 09:06:00",NULL
"292","sensor1","0.00","0.88","112.92","2023-11-04 09:36:00",NULL
"293","sensor1","0.00","0.88","112.92","2023-11-04 10:06:00",NULL
"294","sensor1","0.00","0.88","112.92","2023-11-04 10:36:00",NULL
"295","sensor1","0.00","0.88","112.92","2023-11-04 11:06:00",NULL
"296","sensor1","0.00","0.88","112.92","2023-11-04 11:36:00",NULL
"297","sensor1","0.00","0.88","112.92","2023-11-04 12:06:00",NULL
"298","sensor1","0.00","0.88","112.92","2023-11-04 12:36:00",NULL
"299","sensor1","0.00","0.88","112.92","2023-11-04 13:06:00",NULL
"300","sensor1","56.00","0.88","112.92","2023-11-04 13:36:00",NULL
"301","sensor1","70.00","0.88","112.92","2023-11-04 14:06:00",NULL
"302","sensor1","0.00","0.88","112.92","2023-11-04 14:36:00",NULL
"303","sensor1","0.00","0.88","112.92","2023-11-04 15:06:00",NULL
"304","sensor1","0.00","0.88","112.92","2023-11-04 15:36:00",NULL
"305","sensor1","0.00","0.86","112.92","2023-11-05 08:06:00",NULL
"306","sensor1","0.00","0.86","112.92","2023-11-05 08:36:00",NULL
"307","sensor1","0.00","0.86","112.92","2023-11-05 09:06:00",NULL
"308","sensor1","0.00","0.86","112.92","2023-11-05 09:36:00",NULL
"309","sensor1","0.00","0.86","112.92","2023-11-05 10:06:00",NULL
"310","sensor1","0.00","0.86","112.92","2023-11-05 10:36:00",NULL
"311","sensor1","0.00","0.86","112.92","2023-11-05 11:06:00",NULL
"312","sensor1","0.00","0.86","112.92","2023-11-05 11:36:00",NULL
"313","sensor1","0.00","0.86","112.92","2023-11-05 12:06:00",NULL
"314","sensor1","0.00","0.86","112.92","2023-11-05 12:36:00",NULL
"315","sensor1","0.00","0.86","112.92","2023-11-05 13:06:00",NULL
"316","sensor1","0.00","0.86","112.92","2023-11-05 13:36:00",NULL
"317","sensor1","0.00","0.86","112.92","2023-11-05 14:06:00",NULL
"318","sensor1","56.00","0.86","112.92","2023-11-05 14:36:00",NULL
"319","sensor1","67.00","0.86","112.92","2023-11-05 15:06:00",NULL
"320","sensor1","80.00","0.86","112.92","2023-11-05 15:36:00",NULL
